location_id,boro,building,street,zipcode,lat,long
1,Bronx,786,MORRIS PARK AVENUE,10462,40.846,-73.863
2,Bronx,2829,EDSON AVENUE,10469,40.869,-73.834
3,Bronx,113115,EAST  157 STREET,0,0.0,0.0
4,Bronx,961,EAST  174 STREET,10460,40.837,-73.886
5,Bronx,300C,HUNTS POINT TERMINAL MARKET,10474,40.81,-73.878
6,Bronx,13,EAST MOUNT EDEN AVENUE,10452,40.844,-73.914
7,Bronx,985,MORRIS AVENUE,10456,40.828,-73.917
8,Bronx,1877,CARTER AVENUE,10457,40.847,-73.902
9,Bronx,3108,WEBSTER AVENUE,10467,40.871,-73.876
10,Bronx,2438,JEROME AVENUE,10468,40.862,-73.902
11,Bronx,277,EAST KINGSBRIDGE ROAD,10458,40.864,-73.894
12,Bronx,78,WESTCHESTER SQ,10461,40.841,-73.842
13,Bronx,748-750,E 233RD ST,10466,40.893,-73.856
14,Bronx,1457,WESTCHESTER AVENUE,10472,40.828,-73.882
15,Bronx,3424,KOSSUTH AVENUE,10467,40.88,-73.882
16,Bronx,239,BEDFORD PARK BOULEVARD,10458,40.871,-73.887
17,Bronx,3973,BRONXWOOD AVENUE,10466,40.886,-73.855
18,Bronx,700,EXTERIOR STREET,10451,40.823,-73.931
19,Bronx,4106,EAST TREMONT AVENUE,10465,40.819,-73.817
20,Bronx,769,ALLERTON AVENUE,10467,40.865,-73.865
21,Bronx,17,EAST KINGSBRIDGE ROAD,10468,40.867,-73.897
22,Bronx,1486,WILLIAMSBRIDGE ROAD,10461,40.844,-73.846
23,Bronx,494,EAST  138 STREET,10454,40.808,-73.92
24,Bronx,5684,RIVERDALE AVENUE,10471,40.906,-73.904
25,Bronx,1350,SHAKESPEARE AVENUE,10452,40.841,-73.922
26,Bronx,2401,WESTCHESTER AVENUE,10461,40.837,-73.846
27,Bronx,122,WESTCHESTER SQ,10461,40.84,-73.842
28,Bronx,1160,TELLER AVENUE,10456,40.832,-73.912
29,Bronx,109,WEST 225 STREET,10463,40.874,-73.911
30,Bronx,1808,HONE AVENUE,10461,40.849,-73.855
31,Bronx,850,EAST TREMONT AVENUE,10460,40.843,-73.887
32,Bronx,894,EAST TREMONT AVENUE,10460,40.842,-73.885
