name_id,camis,dba,cuisine_description,phone
3469,41670224,BAHAR MASALA,Afghan,7184348088
3470,50074754,AFGHAN CHAI KHANA,Afghan,7187215020
3471,50034676,AFGHAN KEBAB HOUSE,Afghan,2125172776
3472,50060525,BAKHTAR KEBAB,Afghan,7187625572
3473,50101765,Nansense,Afghan,9176423538
3474,50078815,BAKHTAR AFGHAN WALI BABA GRILL,Afghan,3476441776
3475,41661199,MAIN BAKHTAR HALAL KABAB,Afghan,7187934535
3476,40616799,AFGHAN KEBAB HOUSE #1,Afghan,2123071612
3477,50010806,ARIA KABAB,Afghan,7187932984
3478,40868400,ARIANA KEBAB HOUSE,Afghan,2122622323
3479,50073567,BOMBAY GRILL AND CURRY,Afghan,7183892211
3480,41535706,AFGHAN KEBOB HOUSE,Afghan,7183431160
3481,50058456,SAMI'S KABAB HOUSE,Afghan,9178327165
3482,50085445,ECOWAS KITCHEN (AMALA JUNCTION),African,7182771881
3483,41717742,ACCRA RESTAURANT,African,6469825616
3484,50066913,RESTAURANT DELICES DES SAVEURS,African,3475900333
3485,50061081,B & D HALAL RESTAURANT,African,2122687602
3486,50042777,NABAYA AFRICAN AMERICAN RESTUARANT,African,7184012283
3487,50033574,CHEZ ALAIN RESTAURAUNT,African,2126787820
3488,50088968,SANBRA DOOR RESTAURANT,African,7182943300
3489,50071182,1847 INTERNATIONAL,African,7185244810
3490,41240624,NEW IVOIRE,African,2124105982
3491,50043213,THE GREEN PLACE AFRICAN CUISINE AND RESTAURANT,African,3477852738
3492,50045404,AFRICAN HOME RESTAURANT,African,3475677708
3493,50085457,SWEET BREEZ AFRICAN RESTAURANT,African,3472759324
3494,41167732,GRIN AFRICAN AMERICAN RESTAURANT,African,7182928764
3495,41622533,AKWAABA RESTAURANT,African,3479852588
3496,50064516,CROSS CULTURE KITCHEN,African,2128603900
3497,50095576,EAZY LIFE RESTAURANT,African,3476037644
3498,50085465,DIVINE EXPRESS CATERING,African,7184516330
3499,41452662,THE POINT AFRICAN CARIBBEAN RESTAURANT,African,3472701985
3500,41653879,LENOX SAPHIRE,African,2128669700
3501,41448381,ACCRA RESTAURANT,African,7185848500
3502,50072374,TWO BROTHERS AFRICAN CUISINE LLC,African,3476660442
3503,50080513,BERBER STREET FOOD,African,6464836459
3504,50057973,PAPAYE DINER,African,7186760771
3505,50089902,AL-IMAN GRILL AND BAKERY,African,3472976332
3506,50092607,JALLOH FAMILY RESTAURANT,African,9176595169
3507,41649416,ADAYA AFRICAN AMERICAN RESTAURANT,African,7187317992
3508,50064922,B&B HALALL RESTAURANT,African,3472958422
3509,41573992,KAIA WINE BAR,African,2127220490
3510,50016758,FOUTA HALAL FOOD,African,7187921700
3511,41545370,"SHRINE, YATENGA",African,2126907807
3512,50087785,CEDEAO GRILL,African,7186180485
3513,50034610,MAMA G AFRICAN KITCHEN,African,9292224813
3514,50086996,OBAAPA AFRICAN & CARIBBEAN RESTAURANT,African,7182201300
3515,50055392,BRAVO AFRICAN RESTAURANT 2,African,3474650822
3516,50034508,HONEY BEE'S KITCHEN,African,7189752006
3517,41612730,PAPA YE RESTAURANT,African,7186813240
3518,50007305,MANDELA RESTAURANT,African,9178189594
3519,50046505,LE BAOBAB GOUYGI II RESTAURANT,African,7184844866
3520,50086813,HILLS KITCHEN,African,9294808775
3521,41639194,KEUR COUMBA RESTAURANT,African,2128663900
3522,41260089,ASO ROCK LOUNGE AND RESTAURANT,African,7185251533
3523,50048446,PIKINE AFRICAN RESTAURANT,African,6469227015
